,Shape,Price,Carat,Cut,Color,Clarity,Polish,Symmetry,Depth,Table,L/W
20164,Round,11416,1.81,Ideal,I,SI2,Excellent,Excellent,60.9,59,1
20165,Round,11415,1.05,Ideal,F,VVS1,Excellent,Excellent,62.1,57,1
20166,Princess,11415,1.7,Very Good,G,SI1,Excellent,Very Good,73.6,72,1
20167,Radiant,11415,1.9,Very Good,I,VS2,Very Good,Very Good,69.3,70,1.22
20168,Round,11415,1.22,Very Good,E,VS1,Very Good,Very Good,59.5,57,1.01
20169,Round,11412,0.91,Ideal,D,VVS1,Excellent,Excellent,61.7,57,1.01
20170,Round,11412,2.0,Ideal,J,SI1,Excellent,Excellent,62.7,56,1.01
20171,Round,11410,1.7,Ideal,I,VS2,Excellent,Excellent,62.4,58,1.01
20172,Round,11409,1.23,Ideal,E,VS1,Very Good,Excellent,62.3,57,1
20173,Round,11409,1.74,Ideal,I,SI1,Excellent,Excellent,62.6,58,1
20174,Round,11409,1.2,Ideal,F,IF,Excellent,Excellent,62.8,56,1
20175,Round,11408,1.28,Ideal,E,VS2,Excellent,Excellent,60.1,61,1.01
20176,Round,11408,1.53,Ideal,G,SI1,Excellent,Excellent,58.6,62,1
20177,Pear,11408,1.51,Very Good,E,SI1,Excellent,Excellent,61.9,62,1.57
20178,Cushion,11407,1.51,Good,D,VS2,Very Good,Very Good,69.6,66,1.12
20179,Round,11407,1.5,Very Good,F,VS2,Excellent,Very Good,64.3,55,1.01
20180,Emerald,11407,1.52,Very Good,E,VS1,Excellent,Excellent,67.7,67,1.3
20181,Round,11406,1.29,Ideal,G,VVS1,Excellent,Excellent,61.7,57,1.01
20182,Round,11406,1.5,Very Good,D,VS2,Excellent,Very Good,63.7,58,1.01
20183,Round,11406,1.5,Very Good,D,VS2,Excellent,Very Good,63.8,57,1.01
20184,Round,11405,1.07,Ideal,D,VVS2,Excellent,Excellent,62.0,58,1.01
20185,Oval,11405,1.7,Very Good,H,SI1,Excellent,Excellent,63.2,60,1.36
20186,Oval,11404,1.43,Very Good,D,VS2,Excellent,Very Good,62.3,60,1.44
20187,Round,11403,1.5,Ideal,G,SI1,Excellent,Excellent,62.5,55,1
20188,Pear,11402,1.3,Very Good,F,VVS1,Very Good,Good,61.8,53,1.58
20189,Radiant,11402,1.74,Very Good,G,SI1,Excellent,Very Good,63.7,60,1.15
20190,Round,11402,1.5,Ideal,G,VS2,Excellent,Excellent,62.1,59,1.01
20191,Round,11400,0.95,Ideal,E,IF,Excellent,Excellent,61.8,57,1.01
20192,Round,11400,1.01,Ideal,D,VS1,Excellent,Excellent,61.8,57,1
20193,Round,11400,2.02,Very Good,J,SI2,Excellent,Excellent,64.7,58,1.01
20194,Round,11400,1.1,Ideal,E,VVS1,Excellent,Excellent,60.1,59,1.01
20195,Round,11400,1.5,Very Good,E,SI1,Excellent,Excellent,63.0,58,1.01
20196,Round,11399,1.76,Ideal,G,SI2,Excellent,Excellent,62.9,57,1.01
20197,Round,11399,1.51,Ideal,H,VVS1,Excellent,Excellent,62.4,57,1
20198,Round,11399,1.93,Ideal,I,SI2,Excellent,Excellent,61.3,61,1.01
20199,Round,11398,1.27,Ideal,F,VS2,Excellent,Excellent,61.7,57,1.01
20200,Round,11398,1.17,Ideal,F,IF,Excellent,Excellent,62.6,58,1.01
20201,Round,11398,1.52,Very Good,F,VS2,Excellent,Excellent,64.3,59,1.01
20202,Round,11398,1.3,Ideal,F,VVS1,Excellent,Excellent,62.8,56,1.01
20203,Round,11398,1.5,Ideal,H,VS1,Excellent,Excellent,62.0,58,1.01
20204,Round,11398,1.02,Ideal,E,VVS1,Excellent,Excellent,60.5,59,1
20205,Round,11396,1.72,Very Good,D,SI2,Very Good,Very Good,64.0,58,1.01
20206,Round,11396,1.2,Ideal,F,VVS2,Excellent,Excellent,62.7,57,1
20207,Cushion,11394,1.8,Very Good,H,VS2,Excellent,Very Good,68.3,60,1.07
20208,Emerald,11394,2.02,Very Good,I,SI1,Excellent,Excellent,68.4,65,1.3
20209,Round,11394,1.73,Ideal,G,SI2,Excellent,Excellent,60.9,59,1
20210,Round,11394,1.22,Ideal,G,VS2,Excellent,Excellent,60.6,57,1.01
20211,Oval,11393,1.73,Very Good,H,SI1,Excellent,Excellent,59.8,58,1.35
20212,Round,11393,1.01,Ideal,E,IF,Excellent,Excellent,61.4,59,1
20213,Round,11392,1.03,Ideal,E,IF,Excellent,Excellent,62.5,59,1.01
20214,Round,11392,1.53,Ideal,H,VS2,Excellent,Excellent,62.4,57,1
20215,Round,11391,1.03,Ideal,D,VS1,Excellent,Excellent,61.8,57,1.01
20216,Cushion,11390,1.76,Very Good,G,SI1,Excellent,Very Good,66.9,60,1.05
20217,Round,11390,1.28,Ideal,E,VVS2,Excellent,Excellent,61.9,57,1.01
20218,Round,11390,1.03,Ideal,D,VVS2,Excellent,Excellent,61.5,58,1
20219,Round,11389,1.51,Ideal,H,SI1,Excellent,Excellent,62.7,56,1
20220,Round,11388,1.76,Ideal,J,VVS1,Excellent,Excellent,62.9,56,1.01
20221,Round,11387,1.06,Ideal,E,VVS1,Excellent,Excellent,62.5,57,1.01
20222,Radiant,11387,1.71,Very Good,E,SI2,Excellent,Very Good,70.8,67,1.21
20223,Oval,11387,1.5,Good,D,SI1,Good,Good,68.0,57,1.47
20224,Round,11386,1.87,Very Good,H,SI2,Very Good,Excellent,64.0,60,1.01
20225,Round,11386,1.31,Ideal,D,VS1,Excellent,Excellent,62.6,58,1
20226,Round,11386,1.72,Ideal,I,VS2,Excellent,Excellent,62.8,58,1.01
20227,Round,11384,1.56,Ideal,H,VS2,Excellent,Excellent,62.7,56,1
20228,Round,11384,1.53,Ideal,H,SI1,Excellent,Excellent,62.9,54,1
20229,Round,11384,2.24,Ideal,J,SI2,Excellent,Excellent,62.4,60,1
20230,Round,11383,1.64,Ideal,H,SI1,Excellent,Excellent,62.7,58,1.01
20231,Round,11382,1.76,Ideal,I,SI1,Excellent,Excellent,62.7,56,1.01
20232,Round,11382,1.04,Ideal,E,IF,Excellent,Excellent,61.4,57,1
20233,Round,11382,1.15,Ideal,F,IF,Excellent,Excellent,62.2,58,1
20234,Round,11382,1.74,Ideal,I,SI1,Excellent,Excellent,62.9,55,1.01
20235,Cushion,11381,1.51,Good,E,VS2,Excellent,Excellent,69.7,60,1.07
20236,Pear,11380,1.94,Very Good,H,SI2,Very Good,Very Good,62.7,63,1.54
20237,Round,11380,1.03,Astor Ideal,F,VVS2,Excellent,Excellent,61.8,55,1
20238,Cushion,11379,1.5,Very Good,I,VS1,Very Good,Good,64.6,57,1.15
20239,Cushion,11378,2.02,Very Good,I,SI1,Excellent,Excellent,68.8,62,1
20240,Round,11378,1.7,Ideal,I,VVS2,Excellent,Excellent,62.7,57,1.01
20241,Pear,11378,1.74,Very Good,H,SI1,Excellent,Very Good,59.4,58,1.56
20242,Cushion,11377,1.03,Good,D,IF,Very Good,Very Good,69.7,64,1.09
20243,Pear,11376,1.51,Very Good,F,SI1,Excellent,Excellent,60.6,55,1.51
20244,Round,11376,1.5,Ideal,H,VS2,Excellent,Excellent,60.3,58,1.01
20245,Round,11376,1.7,Ideal,I,VVS2,Excellent,Excellent,63.3,55,1.01
20246,Round,11376,1.71,Ideal,H,SI1,Excellent,Excellent,62.6,58,1
20247,Round,11375,1.51,Ideal,F,SI1,Excellent,Excellent,62.4,56,1
20248,Round,11375,1.5,Ideal,F,SI1,Excellent,Excellent,62.3,58,1.01
20249,Cushion,11375,1.8,Good,D,VS1,Excellent,Very Good,70.5,57,1.03
20250,Round,11374,1.8,Ideal,J,VS1,Excellent,Excellent,62.5,58,1.01
20251,Round,11373,1.5,Good,G,VVS2,Excellent,Very Good,64.5,56,1.01
20252,Round,11372,1.6,Ideal,I,SI1,Excellent,Excellent,62.9,56,1.01
20253,Oval,11372,1.52,Very Good,G,VS2,Excellent,Excellent,63.5,58,1.42
20254,Emerald,11372,2.03,Very Good,J,VS1,Excellent,Excellent,66.3,64,1.39
20255,Round,11372,1.15,Ideal,F,VVS1,Excellent,Excellent,61.4,60,1
20256,Round,11371,1.25,Very Good,D,VS2,Very Good,Very Good,58.2,63,1.01
20257,Round,11371,1.1,Ideal,F,VVS1,Excellent,Excellent,62.2,56,1
20258,Round,11371,0.9,Ideal,D,FL,Excellent,Excellent,62.1,59,1.01
20259,Round,11370,1.8,Ideal,H,SI2,Excellent,Excellent,62.7,56,1.01
20260,Princess,11369,1.7,Very Good,G,SI1,Excellent,Good,73.0,70,1.02
20261,Round,11369,1.3,Ideal,F,VS1,Excellent,Excellent,62.8,54,1
20262,Round,11369,2.02,Good,I,SI2,Very Good,Good,60.4,64,1.01
20263,Oval,11369,1.6,Very Good,G,SI1,Excellent,Very Good,61.1,61,1.34
20264,Oval,11368,2.01,Good,H,SI2,Very Good,Very Good,66.6,59,1.36
20265,Round,11368,1.5,Ideal,F,SI1,Excellent,Excellent,62.7,55,1
20266,Cushion,11368,1.81,Very Good,G,SI1,Excellent,Very Good,64.7,62,1.07
20267,Round,11367,1.01,Very Good,D,VVS1,Very Good,Good,59.0,65,1.01
20268,Round,11367,1.41,Ideal,G,VS1,Excellent,Excellent,62.5,57,1.01
20269,Marquise,11365,1.61,Good,D,SI1,Very Good,Very Good,68.9,54,1.78
20270,Round,11365,1.31,Ideal,F,VVS2,Excellent,Excellent,62.6,56,1
20271,Round,11365,1.3,Ideal,E,VS2,Excellent,Excellent,61.6,57,1
20272,Round,11365,1.04,Astor Ideal,D,VS2,Excellent,Excellent,61.9,56,1
20273,Round,11364,1.51,Good,D,SI1,Excellent,Very Good,64.9,60,1.01
20274,Round,11364,1.58,Ideal,J,VS2,Excellent,Excellent,62.7,56,1.01
20275,Round,11364,1.7,Ideal,G,SI2,Excellent,Excellent,62.7,57,1.01
20276,Round,11363,1.05,Ideal,D,VVS2,Excellent,Excellent,62.3,56,1.01
20277,Round,11363,1.35,Ideal,G,VVS1,Excellent,Excellent,62.5,57,1
20278,Round,11363,1.03,Ideal,E,FL,Excellent,Excellent,60.1,59,1
20279,Cushion,11362,1.71,Very Good,H,VS2,Excellent,Very Good,68.6,59,1
20280,Emerald,11360,1.51,Very Good,F,VS2,Excellent,Excellent,66.5,62,1.36
20281,Round,11360,1.03,Astor Ideal,E,VS1,Excellent,Excellent,61.4,56,1
20282,Round,11359,2.01,Very Good,I,SI2,Excellent,Excellent,64.2,57,1.01
20283,Round,11359,1.2,Ideal,D,VS1,Excellent,Excellent,62.6,56,1
20284,Pear,11358,1.85,Very Good,H,SI1,Very Good,Very Good,61.3,64,1.38
20285,Round,11358,1.51,Very Good,H,IF,Excellent,Very Good,63.8,57,1.02
20286,Round,11358,1.71,Ideal,I,VVS2,Excellent,Excellent,63.0,57,1.01
20287,Round,11358,1.51,Ideal,I,VVS1,Excellent,Excellent,61.9,58,1.01
20288,Round,11358,1.1,Ideal,D,VVS1,Excellent,Excellent,59.0,61,1.01
20289,Round,11356,1.53,Ideal,F,SI1,Excellent,Excellent,62.6,58,1.01
20290,Round,11355,1.5,Ideal,G,SI1,Excellent,Excellent,61.0,59,1.01
20291,Round,11355,1.5,Ideal,F,SI2,Excellent,Excellent,61.4,60,1.01
20292,Round,11354,1.5,Very Good,D,SI1,Excellent,Very Good,62.8,62,1.01
20293,Round,11353,1.32,Ideal,G,VVS1,Excellent,Excellent,62.6,58,1
20294,Round,11352,1.2,Ideal,E,VVS1,Excellent,Excellent,62.1,56,1.01
20295,Princess,11351,1.51,Very Good,G,SI1,Excellent,Excellent,71.0,71,1.02
20296,Cushion,11351,2.4,Very Good,J,VS2,Excellent,Very Good,67.8,59,1.02
20297,Round,11351,1.3,Ideal,F,VS1,Excellent,Excellent,62.8,56,1.01
20298,Emerald,11351,1.54,Very Good,F,VS1,Excellent,Excellent,62.6,65,1.34
20299,Round,11351,1.3,Ideal,E,VS2,Excellent,Excellent,61.7,59,1
20300,Round,11350,1.03,Ideal,D,VS1,Excellent,Excellent,61.2,59,1.01
20301,Heart,11350,1.71,Very Good,E,SI2,Excellent,Very Good,53.3,54,0.89
20302,Round,11350,1.32,Ideal,F,VS1,Excellent,Excellent,62.6,56,1.01
20303,Round,11350,1.32,Ideal,F,VS1,Excellent,Excellent,62.8,56,1
20304,Round,11350,1.32,Ideal,F,VS1,Excellent,Excellent,62.8,57,1.01
20305,Round,11350,1.53,Ideal,D,SI2,Excellent,Excellent,61.7,56,1
20306,Round,11350,1.7,Ideal,I,VS1,Excellent,Excellent,62.2,58,1.01
20307,Oval,11350,2.2,Very Good,J,VS2,Excellent,Good,63.6,62,1.34
20308,Round,11349,1.5,Ideal,H,VS2,Excellent,Excellent,62.2,58,1.01
20309,Round,11349,1.5,Ideal,H,VS2,Excellent,Excellent,61.2,59,1.01
20310,Round,11349,1.5,Ideal,H,VS2,Excellent,Excellent,62.0,57,1
20311,Heart,11347,1.71,Good,I,VS1,Excellent,Very Good,58.9,53,0.87
20312,Round,11346,1.66,Ideal,I,VS2,Very Good,Very Good,61.4,56,1.01
20313,Round,11346,1.9,Ideal,I,SI2,Excellent,Excellent,62.5,57,1.01
20314,Round,11346,1.52,Ideal,H,VS1,Excellent,Excellent,62.4,56,1
20315,Round,11345,1.7,Ideal,G,SI2,Excellent,Excellent,62.6,56,1.01
20316,Round,11344,1.51,Ideal,G,SI1,Excellent,Excellent,62.8,58,1.01
20317,Round,11344,1.4,Ideal,D,VS2,Excellent,Excellent,62.2,58,1.01
20318,Round,11344,1.5,Ideal,H,SI1,Excellent,Excellent,62.6,56,1
20319,Round,11343,1.76,Ideal,J,VVS1,Excellent,Excellent,62.6,58,1
20320,Cushion,11342,1.24,Very Good,E,IF,Excellent,Very Good,68.3,55,1.13
20321,Round,11342,1.85,Ideal,D,SI2,Excellent,Excellent,59.2,62,1.01
20322,Pear,11342,1.81,Very Good,F,SI1,Excellent,Excellent,61.6,54,1.5
20323,Round,11342,1.09,Astor Ideal,F,VS1,Excellent,Excellent,61.1,56,1
20324,Round,11341,1.0,Very Good,D,VVS1,Excellent,Very Good,56.7,62,1.01
20325,Pear,11341,1.79,Very Good,F,SI1,Excellent,Very Good,62.9,61,1.55
20326,Round,11338,1.51,Ideal,G,VS2,Excellent,Excellent,62.7,58,1.01
20327,Pear,11338,1.21,Good,D,IF,Excellent,Very Good,54.8,61,1.52
20328,Round,11338,1.41,Ideal,G,VS1,Excellent,Excellent,62.6,57,1.01
20329,Oval,11337,1.5,Very Good,E,SI1,Excellent,Very Good,65.0,57,1.42
20330,Pear,11336,1.04,Good,D,IF,Very Good,Very Good,54.8,62,1.69
20331,Round,11336,1.14,Ideal,F,IF,Excellent,Excellent,59.9,59,1
20332,Round,11336,1.02,Ideal,E,VVS1,Excellent,Excellent,62.3,59,1
20333,Cushion,11335,1.51,Very Good,F,SI1,Excellent,Excellent,67.7,64,1.16
20334,Pear,11335,1.03,Very Good,D,IF,Excellent,Very Good,59.5,60,1.48
20335,Round,11335,1.4,Ideal,D,SI1,Excellent,Excellent,62.8,56,1.01
20336,Pear,11335,1.5,Very Good,D,VS1,Excellent,Very Good,60.8,62,1.52
20337,Asscher,11334,1.26,Very Good,D,VVS1,Excellent,Excellent,67.7,59,1.02
20338,Round,11334,1.3,Ideal,G,IF,Excellent,Excellent,62.5,56,1.01
20339,Asscher,11333,1.55,Very Good,G,VS2,Excellent,Excellent,64.3,61,1
20340,Round,11333,1.57,Ideal,F,SI1,Excellent,Excellent,61.9,56,1
20341,Round,11332,1.8,Ideal,G,SI2,Excellent,Excellent,62.4,57,1
20342,Pear,11331,1.5,Very Good,E,VS2,Very Good,Very Good,63.3,64,1.5
20343,Oval,11330,1.5,Very Good,E,SI1,Very Good,Good,58.7,53,1.4
20344,Emerald,11329,1.7,Very Good,G,SI1,Excellent,Very Good,69.6,69,1.36
20345,Cushion,11329,1.71,Very Good,G,VVS1,Excellent,Excellent,68.4,61,1.04
20346,Round,11328,1.5,Ideal,G,SI1,Excellent,Excellent,62.6,58,1.01
