,Shape,Price,Carat,Cut,Color,Clarity,Polish,Symmetry,Depth,Table,L/W
1943,Princess,63278,4.01,Very Good,H,VVS1,Excellent,Very Good,73.2,71,1
1944,Cushion,63259,4.19,Good,G,SI1,Very Good,Good,59.7,68,1
1945,Round,63252,2.51,Ideal,D,VVS2,Excellent,Excellent,62.3,58,1
1946,Cushion,63241,3.34,Very Good,H,VVS2,Excellent,Very Good,66.5,66,1
1947,Round,63233,4.02,Good,H,VS1,Excellent,Excellent,64.9,58,1
1948,Round,63179,4.71,Ideal,I,SI1,Excellent,Excellent,62.3,57,1
1949,Radiant,63155,3.64,Very Good,F,VS2,Very Good,Very Good,69.7,70,1
1950,Round,63146,3.06,Ideal,G,VVS1,Excellent,Excellent,61.3,60,1
1951,Cushion,63112,4.08,Very Good,G,SI1,Excellent,Excellent,68.7,61,1
1952,Round,63094,3.82,Ideal,I,VS1,Excellent,Excellent,62.2,59,1
1953,Round,63088,3.39,Ideal,F,VS2,Excellent,Excellent,62.6,56,1
1954,Round,63057,3.55,Ideal,G,VS2,Excellent,Excellent,62.7,56,1
1955,Round,62985,3.01,Very Good,D,SI1,Excellent,Excellent,60.5,61,1
1956,Round,62945,3.01,Ideal,H,VVS2,Excellent,Excellent,61.4,58,1
1957,Round,62944,3.02,Ideal,G,VS1,Excellent,Excellent,61.0,60,1
1958,Pear,62943,3.01,Very Good,D,VS1,Excellent,Very Good,65.7,55,1
1959,Round,62940,3.14,Ideal,F,VVS2,Excellent,Excellent,62.6,56,1
1960,Round,62935,4.04,Ideal,H,VS1,Excellent,Excellent,61.8,57,1
1961,Round,62920,2.5,Ideal,D,VS1,Excellent,Excellent,62.8,57,1
1962,Round,62858,2.52,Ideal,D,VVS2,Excellent,Excellent,62.3,60,1
1963,Round,62858,2.52,Ideal,D,VVS2,Excellent,Excellent,61.2,56,1
1964,Asscher,62853,3.52,Very Good,G,VVS2,Excellent,Very Good,66.3,64,1
1965,Round,62849,2.8,Ideal,F,VVS2,Excellent,Excellent,60.0,58,1
1966,Round,62847,3.98,Ideal,I,VS2,Excellent,Excellent,60.2,59,1
1967,Emerald,62770,3.01,Very Good,D,VS2,Very Good,Good,62.7,72,1
1968,Round,62744,5.01,Good,J,VS2,Excellent,Excellent,66.0,55,1
1969,Round,62707,3.02,Very Good,H,VS1,Very Good,Good,61.4,59,1
1970,Pear,62684,3.01,Very Good,D,VS2,Excellent,Excellent,63.8,55,2
1971,Cushion,62669,3.51,Very Good,G,VVS1,Excellent,Excellent,68.1,62,1
1972,Emerald,62644,3.01,Very Good,D,VS1,Excellent,Very Good,60.5,67,1
1973,Round,62643,3.01,Ideal,H,VVS2,Excellent,Excellent,62.0,58,1
1974,Round,62616,2.72,Ideal,D,VS1,Excellent,Excellent,62.6,57,1
1975,Cushion,62614,2.58,Very Good,D,IF,Excellent,Very Good,67.5,63,1
1976,Radiant,62613,3.24,Very Good,H,VVS1,Very Good,Good,63.9,67,1
1977,Round,62593,3.82,Ideal,J,VVS2,Very Good,Very Good,59.2,59,1
1978,Cushion,62592,3.24,Very Good,E,VS1,Excellent,Excellent,62.6,56,1
1979,Round,62590,5.42,Ideal,J,SI2,Excellent,Excellent,62.6,58,1
1980,Round,62583,3.04,Ideal,F,VVS2,Excellent,Excellent,60.4,58,1
1981,Radiant,62555,3.05,Very Good,E,VS1,Excellent,Excellent,67.8,65,1
1982,Round,62532,3.01,Good,G,VVS2,Excellent,Good,61.2,59,1
1983,Oval,62523,3.01,Very Good,F,VS1,Excellent,Excellent,61.8,57,1
1984,Oval,62522,5.08,Very Good,J,VS2,Excellent,Excellent,61.5,61,1
1985,Round,62521,3.01,Ideal,E,VS1,Excellent,Excellent,63.2,58,1
1986,Round,62466,3.11,Ideal,F,IF,Excellent,Very Good,59.3,61,1
1987,Oval,62424,3.06,Very Good,E,VS2,Excellent,Very Good,63.0,58,1
1988,Cushion,62411,4.06,Very Good,H,VS2,Excellent,Excellent,67.2,62,1
1989,Princess,62393,5.04,Very Good,G,SI2,Excellent,Excellent,73.7,69,1
1990,Round,62359,2.5,Ideal,D,VVS2,Excellent,Excellent,62.8,56,1
1991,Round,62333,3.01,Ideal,H,VVS2,Excellent,Excellent,62.5,58,1
1992,Round,62321,3.02,Ideal,G,VVS1,Excellent,Excellent,62.5,58,1
1993,Round,62306,4.21,Ideal,H,SI2,Excellent,Excellent,59.5,57,1
1994,Round,62291,3.25,Ideal,H,VS1,Excellent,Excellent,62.2,55,1
1995,Round,62255,3.81,Ideal,H,VS2,Excellent,Excellent,61.5,59,1
1996,Emerald,62226,3.5,Very Good,F,VS2,Very Good,Very Good,69.0,65,1
1997,Round,62223,2.02,Ideal,D,IF,Excellent,Excellent,62.6,57,1
1998,Round,62220,3.12,Ideal,H,VVS1,Excellent,Excellent,62.7,57,1
1999,Heart,62184,3.59,Very Good,H,VVS2,Excellent,Excellent,56.7,60,1
2000,Round,62163,3.51,Ideal,I,VS1,Excellent,Excellent,61.6,59,1
2001,Marquise,62161,3.27,Very Good,F,VS2,Excellent,Very Good,60.9,58,2
2002,Oval,62148,4.4,Very Good,H,SI1,Excellent,Excellent,64.8,59,1
2003,Round,62079,4.11,Ideal,I,VS2,Excellent,Excellent,62.1,59,1
2004,Round,62056,4.02,Ideal,G,SI2,Excellent,Excellent,62.6,58,1
2005,Round,62028,4.01,Ideal,D,SI1,Excellent,Excellent,62.7,56,1
2006,Round,62028,2.5,Ideal,E,VVS1,Excellent,Excellent,62.7,59,1
2007,Round,61922,3.05,Ideal,G,VS2,Excellent,Excellent,62.5,58,1
2008,Pear,61921,3.01,Very Good,E,VVS2,Excellent,Very Good,62.2,54,1
2009,Round,61913,4.01,Very Good,I,VS1,Excellent,Excellent,63.1,60,1
2010,Heart,61829,3.08,Very Good,G,VVS1,Excellent,Excellent,58.3,59,1
2011,Oval,61785,5.01,Very Good,J,SI1,Very Good,Good,57.1,58,2
2012,Radiant,61785,5.01,Very Good,J,SI1,Excellent,Excellent,68.8,65,1
2013,Round,61762,4.52,Ideal,I,SI1,Excellent,Excellent,62.1,60,1
2014,Oval,61752,4.0,Very Good,H,VS2,Excellent,Excellent,63.3,61,1
2015,Round,61734,4.03,Ideal,G,SI1,Excellent,Excellent,62.1,57,1
2016,Round,61718,4.46,Ideal,H,SI2,Excellent,Excellent,62.8,57,1
2017,Round,61718,3.01,Ideal,F,VS2,Excellent,Excellent,62.2,58,1
2018,Oval,61677,5.03,Very Good,J,VS1,Excellent,Excellent,62.6,63,1
2019,Emerald,61596,4.07,Very Good,I,VS1,Excellent,Excellent,66.6,63,1
2020,Oval,61580,4.01,Very Good,F,SI1,Excellent,Excellent,60.0,60,1
2021,Cushion,61572,3.05,Very Good,E,VVS2,Excellent,Excellent,66.4,60,1
2022,Round,61548,5.01,Ideal,J,SI1,Excellent,Excellent,62.4,60,1
2023,Round,61536,2.71,Ideal,E,VS1,Excellent,Excellent,62.1,58,1
2024,Round,61522,4.43,Ideal,J,VS2,Excellent,Excellent,60.1,59,1
2025,Radiant,61522,3.07,Very Good,F,VS1,Very Good,Very Good,70.4,65,1
2026,Emerald,61513,5.01,Very Good,J,VS1,Good,Very Good,67.1,68,1
2027,Round,61493,3.5,Ideal,H,VS1,Excellent,Excellent,61.3,62,1
2028,Round,61432,3.01,Ideal,G,VS2,Excellent,Excellent,60.4,58,1
2029,Round,61410,4.5,Ideal,H,SI1,Excellent,Excellent,62.6,57,1
2030,Emerald,61399,4.06,Very Good,I,VVS1,Excellent,Excellent,67.0,65,1
2031,Round,61347,2.5,Ideal,D,VS1,Excellent,Excellent,60.6,60,1
2032,Round,61321,5.5,Ideal,J,SI2,Excellent,Excellent,62.7,57,1
2033,Round,61317,3.52,Ideal,H,VS2,Excellent,Excellent,62.1,58,1
2034,Round,61301,2.15,Ideal,D,VVS2,Excellent,Excellent,60.9,57,1
2035,Round,61285,5.01,Very Good,J,SI2,Very Good,Very Good,59.2,62,1
2036,Round,61278,2.73,Ideal,F,VVS2,Excellent,Excellent,62.6,58,1
2037,Cushion,61277,4.03,Very Good,I,VS1,Excellent,Very Good,68.3,60,1
2038,Cushion,61268,5.01,Good,I,SI1,Excellent,Very Good,69.8,59,1
2039,Cushion,61266,3.2,Very Good,E,VS2,Excellent,Very Good,68.4,61,1
2040,Radiant,61236,4.0,Very Good,H,VS2,Excellent,Excellent,70.9,71,1
2041,Oval,61234,4.07,Very Good,I,VS2,Excellent,Excellent,60.2,60,1
2042,Round,61233,2.33,Ideal,D,VVS2,Excellent,Excellent,60.7,58,1
2043,Round,61216,4.43,Ideal,J,VVS2,Excellent,Excellent,59.2,60,1
2044,Emerald,61129,3.03,Very Good,F,VVS2,Excellent,Excellent,67.5,66,1
2045,Round,61125,4.01,Ideal,E,SI1,Excellent,Excellent,62.7,58,1
2046,Round,61097,4.01,Ideal,I,VS2,Excellent,Excellent,62.6,57,1
2047,Round,61059,5.5,Ideal,J,SI2,Excellent,Excellent,61.7,59,1
2048,Round,61006,3.02,Ideal,G,VS2,Excellent,Excellent,62.3,58,1
2049,Round,61004,3.01,Very Good,G,VVS1,Excellent,Good,65.1,56,1
2050,Round,60999,4.0,Ideal,F,SI1,Excellent,Excellent,60.5,61,1
2051,Round,60938,3.59,Ideal,F,SI1,Excellent,Excellent,62.2,56,1
2052,Round,60937,4.02,Ideal,H,VS2,Excellent,Excellent,61.2,61,1
2053,Heart,60934,4.01,Very Good,I,VS2,Very Good,Very Good,52.3,56,1
2054,Round,60927,2.0,Ideal,D,IF,Excellent,Very Good,62.1,59,1
2055,Round,60903,2.65,Ideal,D,VS1,Excellent,Excellent,62.5,58,1
2056,Round,60887,2.51,Ideal,E,VS1,Excellent,Excellent,60.8,60,1
2057,Round,60846,2.13,Ideal,D,VVS1,Excellent,Excellent,61.8,55,1
2058,Round,60822,3.38,Ideal,G,SI1,Very Good,Excellent,61.7,55,1
2059,Cushion,60814,3.51,Very Good,E,VS2,Excellent,Very Good,66.0,63,1
2060,Oval,60801,4.01,Very Good,H,SI1,Excellent,Excellent,58.5,61,1
2061,Emerald,60795,4.0,Good,H,VVS1,Excellent,Very Good,70.0,57,1
2062,Round,60768,3.01,Ideal,G,VVS1,Excellent,Excellent,62.4,59,1
2063,Round,60768,3.01,Ideal,G,VVS1,Excellent,Excellent,61.1,59,1
2064,Cushion,60739,5.07,Very Good,J,SI1,Excellent,Excellent,67.2,62,1
2065,Round,60732,2.41,Ideal,D,VVS2,Excellent,Excellent,59.7,60,1
2066,Round,60660,3.37,Ideal,I,VS1,Excellent,Excellent,62.1,59,1
2067,Round,60660,4.51,Ideal,I,SI2,Excellent,Excellent,60.4,59,1
2068,Round,60659,2.0,Ideal,D,IF,Excellent,Excellent,61.5,59,1
2069,Marquise,60657,3.26,Good,H,VVS2,Excellent,Excellent,65.2,55,2
2070,Oval,60566,3.01,Good,E,VS2,Excellent,Very Good,65.1,55,1
2071,Cushion,60533,4.5,Very Good,I,SI1,Excellent,Very Good,68.7,64,1
2072,Emerald,60502,3.02,Very Good,F,VVS1,Excellent,Excellent,69.9,66,1
2073,Round,60490,3.37,Very Good,G,SI1,Excellent,Excellent,61.6,56,1
2074,Round,60480,3.02,Ideal,F,VS1,Excellent,Excellent,62.5,58,1
2075,Round,60480,3.02,Ideal,F,VS1,Excellent,Excellent,60.1,60,1
2076,Pear,60471,3.06,Very Good,H,VVS1,Excellent,Excellent,62.3,57,2
2077,Round,60446,2.12,Ideal,D,VVS2,Excellent,Excellent,60.3,60,1
2078,Cushion,60432,4.09,Very Good,H,VS2,Excellent,Very Good,68.6,58,1
2079,Pear,60415,3.0,Very Good,D,VS2,Excellent,Very Good,62.5,53,2
2080,Round,60374,3.08,Ideal,G,VS2,Excellent,Excellent,62.1,57,1
2081,Round,60370,4.07,Ideal,I,VS2,Excellent,Excellent,63.0,58,1
2082,Round,60337,4.03,Ideal,I,VS1,Excellent,Excellent,62.1,58,1
2083,Oval,60327,3.01,Very Good,D,VS2,Excellent,Excellent,60.2,59,1
2084,Heart,60306,4.01,Very Good,I,VS1,Excellent,Excellent,57.5,56,1
2085,Heart,60283,3.8,Good,F,VVS1,Excellent,Excellent,61.3,56,1
2086,Emerald,60281,3.49,Very Good,G,VS1,Excellent,Excellent,66.5,64,1
2087,Emerald,60278,4.68,Very Good,J,VS2,Good,Good,66.8,58,1
2088,Cushion,60262,3.51,Very Good,F,VS2,Excellent,Excellent,68.6,60,1
2089,Oval,60260,3.12,Good,D,VS2,Very Good,Good,65.9,52,1
2090,Radiant,60235,5.01,Very Good,I,SI2,Very Good,Good,62.7,73,1
2091,Cushion,60194,5.03,Very Good,I,VS1,Very Good,Very Good,69.4,64,1
2092,Pear,60193,3.01,Very Good,G,VVS2,Excellent,Excellent,62.5,63,1
2093,Asscher,60185,3.11,Very Good,E,VS1,Excellent,Excellent,66.3,61,1
2094,Round,60181,3.14,Ideal,H,VS1,Excellent,Excellent,61.9,56,1
2095,Asscher,60176,3.01,Very Good,E,VVS1,Excellent,Excellent,66.7,66,1
2096,Round,60174,3.02,Ideal,E,SI1,Excellent,Excellent,62.5,57,1
2097,Round,60135,2.32,Ideal,D,VVS2,Excellent,Excellent,59.3,60,1
2098,Pear,60113,3.18,Very Good,E,VVS1,Excellent,Very Good,60.9,57,2
2099,Round,60095,3.58,Ideal,I,VVS2,Excellent,Excellent,62.4,57,1
2100,Round,60086,3.04,Ideal,E,VS1,Excellent,Excellent,62.2,56,1
2101,Round,60070,5.08,Ideal,J,SI1,Excellent,Excellent,62.4,59,1
2102,Pear,60053,3.03,Very Good,E,VVS1,Excellent,Excellent,62.5,62,2
2103,Cushion,60052,5.68,Very Good,J,SI1,Excellent,Very Good,66.3,61,1
2104,Oval,60031,5.01,Very Good,J,SI1,Excellent,Excellent,62.6,61,1
2105,Emerald,59973,3.4,Very Good,G,VVS2,Excellent,Very Good,66.5,65,1
2106,Pear,59963,5.34,Very Good,F,SI2,Very Good,Very Good,64.8,62,2
2107,Round,59957,3.51,Ideal,F,SI1,Excellent,Excellent,63.2,55,1
2108,Round,59928,2.0,Ideal,D,IF,Excellent,Excellent,61.7,59,1
2109,Round,59924,4.01,Ideal,F,SI1,Excellent,Excellent,62.3,59,1
2110,Cushion,59899,3.71,Very Good,F,VS2,Excellent,Very Good,68.1,62,1
2111,Cushion,59874,4.01,Good,D,VS2,Excellent,Very Good,72.5,59,1
2112,Round,59853,2.73,Ideal,F,VVS2,Excellent,Excellent,62.4,58,1
2113,Oval,59851,3.01,Very Good,D,VS1,Excellent,Very Good,62.3,63,1
2114,Round,59840,1.93,Ideal,D,FL,Excellent,Excellent,61.8,57,1
2115,Round,59829,4.69,Ideal,J,SI1,Excellent,Excellent,61.3,58,1
2116,Round,59816,3.0,Very Good,H,VVS1,Excellent,Excellent,62.5,55,1
2117,Round,59796,3.12,Ideal,H,VS1,Excellent,Excellent,62.4,56,1
2118,Round,59790,4.08,Ideal,I,VS2,Excellent,Excellent,61.2,59,1
2119,Asscher,59780,5.0,Good,J,SI1,Very Good,Very Good,61.9,71,1
2120,Asscher,59773,3.92,Very Good,H,VVS1,Excellent,Excellent,67.5,63,1
2121,Round,59745,2.4,Ideal,E,IF,Excellent,Excellent,60.5,60,1
2122,Round,59732,3.01,Ideal,E,VS2,Excellent,Excellent,60.3,60,1
2123,Cushion,59721,3.25,Very Good,F,VVS2,Excellent,Very Good,67.7,60,1
2124,Cushion,59652,4.01,Very Good,I,VS1,Excellent,Excellent,69.0,64,1
2125,Round,59652,2.8,Ideal,F,VVS1,Excellent,Excellent,63.2,55,1
2126,Round,59644,2.4,Ideal,D,VS1,Excellent,Excellent,62.7,57,1
2127,Round,59632,4.02,Ideal,E,SI2,Excellent,Excellent,62.4,57,1
2128,Radiant,59608,4.1,Very Good,F,SI1,Very Good,Good,67.8,62,1
2129,Round,59605,2.55,Ideal,D,VS1,Excellent,Excellent,61.7,57,1
2130,Emerald,59598,4.02,Very Good,I,VS2,Excellent,Very Good,69.7,60,1
2131,Cushion,59580,3.02,Very Good,E,VS1,Excellent,Excellent,68.6,64,1
2132,Emerald,59572,3.3,Very Good,F,VS2,Excellent,Excellent,67.5,63,1
2133,Round,59565,3.01,Ideal,E,VS2,Excellent,Excellent,62.2,56,1
2134,Princess,59547,3.01,Very Good,G,VVS1,Excellent,Excellent,71.6,71,1
2135,Emerald,59535,4.18,Very Good,I,FL,Excellent,Excellent,67.4,63,1
2136,Cushion,59508,3.01,Very Good,E,VS1,Very Good,Good,65.6,66,1
2137,Round,59494,3.26,Ideal,G,VVS2,Excellent,Excellent,62.3,54,1
2138,Round,59468,3.69,Ideal,H,VS2,Excellent,Excellent,62.9,57,1
2139,Round,59450,3.2,Ideal,H,VS2,Excellent,Excellent,59.7,62,1
2140,Round,59438,3.01,Ideal,H,VS1,Excellent,Excellent,61.6,58,1
2141,Round,59434,4.01,Ideal,I,VS2,Excellent,Excellent,62.8,57,1
2142,Pear,59407,5.01,Good,J,SI1,Very Good,Very Good,57.9,63,2
2143,Oval,59401,2.51,Very Good,D,IF,Excellent,Excellent,59.9,59,2
2144,Cushion,59394,5.03,Very Good,J,SI1,Excellent,Excellent,67.1,61,1
2145,Round,59369,3.41,Ideal,F,SI1,Excellent,Excellent,62.1,55,1
2146,Cushion,59307,3.11,Very Good,D,VS1,Excellent,Very Good,69.3,64,1
2147,Round,59297,3.2,Ideal,H,VVS2,Excellent,Excellent,59.3,60,1
2148,Round,59284,3.5,Ideal,I,VS1,Excellent,Excellent,61.6,55,1
2149,Asscher,59279,5.01,Very Good,I,SI1,Very Good,Very Good,65.2,69,1
2150,Round,59253,4.7,Very Good,J,VVS2,Excellent,Very Good,62.9,58,1
2151,Round,59239,3.01,Ideal,D,SI1,Excellent,Excellent,59.8,59,1
2152,Heart,59219,3.01,Very Good,G,VVS2,Excellent,Excellent,57.3,56,1
2153,Round,59217,2.51,Ideal,F,VVS1,Excellent,Excellent,62.5,56,1
2154,Pear,59199,5.0,Good,I,VS2,Very Good,Good,54.6,56,2
2155,Round,59192,3.02,Ideal,G,VS2,Excellent,Excellent,62.1,57,1
2156,Heart,59157,3.01,Very Good,E,VS2,Excellent,Very Good,56.0,58,1
2157,Oval,59143,3.31,Very Good,F,VS2,Excellent,Excellent,63.5,62,1
2158,Round,59132,2.41,Ideal,D,VS1,Excellent,Excellent,62.0,57,1
2159,Round,59097,3.03,Ideal,F,VS1,Excellent,Excellent,62.5,58,1
2160,Emerald,59088,3.07,Very Good,F,VS1,Very Good,Good,68.4,65,1
2161,Round,59086,3.01,Ideal,G,VVS2,Excellent,Very Good,59.2,58,1
2162,Emerald,59078,3.3,Very Good,F,VVS2,Excellent,Excellent,65.9,63,1
2163,Round,59059,4.01,Ideal,I,VS1,Excellent,Excellent,61.2,59,1
2164,Round,59044,4.36,Very Good,J,VS2,Excellent,Good,57.4,60,1
2165,Round,59015,2.57,Ideal,D,VS1,Excellent,Excellent,62.1,56,1
2166,Cushion,59008,5.01,Very Good,F,SI2,Excellent,Very Good,67.4,59,1
2167,Round,59001,4.17,Ideal,H,VS2,Excellent,Excellent,62.7,56,1
2168,Round,58995,3.01,Ideal,G,VS2,Excellent,Excellent,62.4,58,1
2169,Round,58983,4.12,Good,J,VVS2,Good,Good,55.2,61,1
2170,Round,58967,3.02,Ideal,D,SI1,Excellent,Excellent,62.3,59,1
2171,Princess,58954,4.03,Very Good,G,VS2,Excellent,Excellent,71.8,66,1
2172,Pear,58953,3.06,Good,H,IF,Excellent,Excellent,57.9,60,2
2173,Pear,58942,3.0,Good,G,VVS1,Excellent,Very Good,57.7,56,2
2174,Round,58921,3.51,Ideal,H,VS2,Excellent,Excellent,59.3,61,1
2175,Round,58915,2.42,Ideal,F,IF,Excellent,Excellent,58.8,60,1
2176,Round,58911,2.4,Ideal,D,IF,Excellent,Excellent,62.5,57,1
2177,Emerald,58898,3.01,Very Good,F,IF,Excellent,Excellent,64.9,63,1
2178,Round,58858,3.17,Ideal,G,SI1,Excellent,Excellent,61.7,56,1
2179,Round,58831,2.21,Ideal,D,VVS1,Excellent,Excellent,62.4,55,1
2180,Emerald,58829,2.8,Very Good,D,VVS2,Very Good,Excellent,64.4,64,1
2181,Round,58818,2.3,Ideal,E,VVS1,Excellent,Excellent,62.7,58,1
2182,Pear,58799,4.06,Very Good,H,VVS2,Excellent,Excellent,60.0,60,2
2183,Asscher,58796,3.57,Very Good,F,VS1,Excellent,Excellent,68.2,64,1
2184,Cushion,58751,4.01,Very Good,G,SI1,Excellent,Very Good,66.9,63,1
2185,Round,58728,4.25,Ideal,J,VS1,Excellent,Excellent,62.5,57,1
2186,Round,58715,3.27,Ideal,G,VVS2,Excellent,Excellent,62.3,58,1
2187,Round,58699,3.02,Ideal,H,VVS1,Excellent,Excellent,61.1,60,1
2188,Round,58696,2.51,Ideal,F,VVS1,Excellent,Excellent,61.1,59,1
2189,Oval,58604,5.02,Very Good,J,SI2,Good,Very Good,60.6,60,1
2190,Cushion,58586,5.02,Good,J,VS2,Excellent,Very Good,72.1,59,1
2191,Emerald,58514,3.01,Very Good,G,VVS2,Excellent,Very Good,63.2,61,1
2192,Emerald,58514,3.01,Very Good,G,VVS2,Excellent,Excellent,66.5,64,1
2193,Round,58484,5.05,Ideal,J,SI2,Excellent,Excellent,62.4,57,1
2194,Round,58483,3.01,Ideal,H,VS1,Excellent,Excellent,62.1,57,1
2195,Emerald,58470,3.0,Very Good,E,VS2,Good,Good,68.4,70,1
2196,Cushion,58458,3.24,Very Good,G,VS2,Very Good,Very Good,68.4,63,1
2197,Pear,58448,3.01,Good,H,VVS2,Good,Good,57.5,65,2
2198,Round,58407,2.55,Ideal,E,VS1,Excellent,Excellent,61.7,55,1
2199,Round,58390,3.01,Very Good,G,VS1,Excellent,Excellent,61.3,62,1
2200,Round,58360,3.2,Ideal,G,VS2,Excellent,Excellent,62.5,57,1
2201,Round,58339,3.01,Ideal,G,VS1,Excellent,Excellent,62.5,60,1
2202,Round,58270,2.8,Ideal,D,VS2,Excellent,Excellent,61.1,55,1
2203,Pear,58214,3.77,Good,E,SI1,Good,Good,54.2,56,1
2204,Radiant,58212,5.08,Very Good,J,SI1,Excellent,Excellent,67.4,66,1
2205,Round,58203,2.57,Ideal,D,VS1,Excellent,Excellent,62.4,57,1
2206,Round,58191,3.01,Ideal,D,SI1,Excellent,Excellent,62.8,56,1
2207,Round,58190,3.25,Ideal,H,VS2,Excellent,Excellent,61.6,59,1
2208,Emerald,58189,3.32,Very Good,F,VVS1,Very Good,Very Good,66.0,65,1
2209,Oval,58188,3.01,Good,G,VVS1,Very Good,Very Good,54.6,64,1
2210,Round,58172,4.1,Ideal,I,SI1,Excellent,Excellent,62.0,57,1
2211,Cushion,58154,5.03,Very Good,I,VS2,Excellent,Excellent,68.6,61,1
2212,Radiant,58139,3.13,Very Good,G,VS1,Very Good,Good,69.3,68,1
2213,Round,58124,4.34,Ideal,J,VS1,Excellent,Excellent,62.7,57,1
2214,Round,58115,3.05,Ideal,E,VS2,Excellent,Excellent,61.0,58,1
2215,Round,58104,2.19,Ideal,D,VVS1,Excellent,Excellent,62.0,58,1
2216,Radiant,58103,3.06,Very Good,E,VS2,Good,Very Good,67.8,69,1
2217,Round,58100,2.52,Ideal,D,VS1,Excellent,Excellent,61.8,57,1
2218,Round,58076,3.81,Ideal,I,VS1,Excellent,Excellent,62.9,56,1
2219,Asscher,58071,3.38,Very Good,E,VS1,Excellent,Excellent,66.5,66,1
2220,Round,58041,4.12,Ideal,J,VS1,Excellent,Excellent,62.0,59,1
2221,Oval,57988,3.01,Very Good,E,VS2,Excellent,Excellent,61.6,62,1
2222,Emerald,57968,3.03,Very Good,E,VS1,Very Good,Excellent,69.1,64,1
2223,Cushion,57959,3.7,Very Good,G,VVS2,Excellent,Very Good,67.4,61,1
2224,Round,57939,3.24,Ideal,G,VVS2,Excellent,Excellent,61.8,59,1
2225,Round,57892,2.22,Ideal,D,VVS1,Excellent,Excellent,60.9,57,1
2226,Marquise,57869,3.04,Very Good,E,VS2,Excellent,Excellent,63.5,57,2
2227,Emerald,57865,3.01,Very Good,E,VVS1,Excellent,Very Good,66.9,62,1
2228,Round,57827,2.22,Ideal,D,VVS1,Excellent,Excellent,59.2,61,1
2229,Radiant,57786,3.35,Very Good,H,IF,Very Good,Very Good,69.4,69,1
2230,Round,57774,2.71,Ideal,E,VS1,Excellent,Excellent,62.2,57,1
2231,Round,57744,2.62,Ideal,F,VVS1,Excellent,Excellent,62.7,56,1
2232,Asscher,57742,3.56,Very Good,E,VS2,Excellent,Excellent,66.4,61,1
2233,Round,57710,3.08,Ideal,D,VS2,Excellent,Excellent,62.3,59,1
2234,Cushion,57650,3.01,Very Good,G,VS1,Very Good,Good,69.3,61,1
2235,Round,57631,2.51,Ideal,D,VS1,Excellent,Excellent,62.7,57,1
2236,Round,57616,4.54,Ideal,G,SI2,Excellent,Excellent,60.7,59,1
2237,Radiant,57609,3.29,Very Good,H,VVS2,Very Good,Very Good,61.7,68,1
2238,Cushion,57607,3.03,Good,D,VS1,Very Good,Very Good,67.4,67,1
2239,Round,57601,4.64,Ideal,J,SI1,Excellent,Excellent,62.5,56,1
2240,Round,57577,4.01,Ideal,H,SI1,Excellent,Excellent,60.8,60,1
2241,Round,57574,4.01,Ideal,I,VS2,Excellent,Very Good,63.3,56,1
2242,Round,57473,3.03,Ideal,G,VS1,Excellent,Excellent,61.9,58,1
2243,Round,57464,3.64,Very Good,E,VS2,Very Good,Very Good,60.8,62,1
2244,Round,57462,3.54,Ideal,I,VVS2,Excellent,Excellent,61.0,59,1
2245,Cushion,57458,3.01,Very Good,E,IF,Excellent,Very Good,61.0,63,1
2246,Cushion,57451,5.02,Very Good,J,SI1,Excellent,Good,69.0,63,1
2247,Radiant,57421,5.01,Good,J,SI1,Excellent,Very Good,69.6,75,1
2248,Oval,57418,3.2,Very Good,E,VVS2,Excellent,Excellent,61.7,56,1
2249,Round,57385,2.53,Ideal,F,VVS1,Excellent,Excellent,58.4,60,1
2250,Round,57348,3.01,Ideal,G,VS2,Excellent,Excellent,62.1,57,1
2251,Asscher,57336,3.02,Very Good,F,VVS1,Excellent,Excellent,65.7,65,1
2252,Round,57322,2.7,Ideal,F,VVS2,Excellent,Excellent,62.8,57,1
2253,Pear,57317,3.03,Very Good,E,VVS1,Excellent,Excellent,61.7,60,2
2254,Radiant,57265,3.02,Very Good,F,VS2,Very Good,Very Good,65.0,68,1
2255,Round,57241,2.24,Ideal,D,VVS2,Excellent,Excellent,62.6,56,1
2256,Round,57237,3.01,Ideal,H,VS1,Excellent,Excellent,61.7,57,1
2257,Round,57229,2.0,Ideal,D,IF,Excellent,Excellent,62.7,58,1
2258,Round,57217,2.01,Very Good,D,IF,Excellent,Very Good,61.5,61,1
2259,Cushion,57205,5.01,Good,J,VS1,Very Good,Very Good,70.2,67,1
2260,Heart,57194,3.01,Very Good,F,VS2,Excellent,Excellent,56.7,61,1
2261,Radiant,57186,4.04,Very Good,I,VS2,Very Good,Very Good,71.7,72,1
2262,Round,57186,2.01,Ideal,D,VVS1,Excellent,Excellent,60.9,58,1
2263,Round,57185,3.71,Ideal,I,VS1,Excellent,Excellent,62.8,56,1
2264,Oval,57167,3.01,Very Good,E,VS2,Excellent,Excellent,62.1,62,1
2265,Pear,57164,3.01,Good,G,VVS2,Very Good,Excellent,57.5,61,2
2266,Round,57161,4.01,Ideal,I,VS2,Excellent,Excellent,62.9,57,1
2267,Pear,57157,2.23,Good,D,IF,Excellent,Very Good,55.8,60,2
2268,Round,57153,3.68,Ideal,I,VVS2,Excellent,Excellent,61.4,59,1
2269,Asscher,57149,3.01,Very Good,F,VVS1,Excellent,Excellent,67.5,68,1
